annee;patho_niv1;patho_niv2;patho_niv3;top;cla_age_5;sexe;region;dept;Ntop;Npop;prev;Niveau prioritaire;libelle_classe_age;libelle_sexe;tri
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;28;61;;6250;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;84;73;20;13540;0.17;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;44;55;;9710;;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;44;51;;15140;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;84;74;50;26550;0.169;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;44;67;60;71110;0.09;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;44;54;;17490;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;84;999;500;259600;0.191;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;44;08;20;14850;0.108;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;44;57;;23910;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;93;06;60;31990;0.178;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;52;85;30;38810;0.075;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;44;67;;30200;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;93;84;20;18930;0.079;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;52;999;160;229000;0.07;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;52;53;;7770;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;1;94;999;20;8260;0.29;2;de 10 à 14 ans;hommes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;53;56;20;41920;0.043;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;53;22;;13340;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;01;999;;12040;;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;53;999;110;192550;0.058;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;53;29;;21130;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;06;976;;6040;;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;16;;18130;;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;53;56;;17480;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;06;999;;6040;;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;23;;4950;;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;53;999;;81970;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;11;77;50;50410;0.105;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;33;80;108090;0.074;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;16;;7600;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;11;92;70;47960;0.144;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;40;20;24260;0.074;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;17;;13430;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;11;94;70;43090;0.156;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;47;;17520;;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;19;;4810;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;24;28;20;14020;0.15;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;64;30;39820;0.073;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;40;;9290;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;24;36;;5450;;2;de 10 à 14 ans;femmes;35.0
2020;Insuffisance rénale chronique terminale;;;IRT_CAT_CAT;35-39;9;75;79;10;20380;0.054;1;de 35 à 39 ans;tous sexes;4.0
2019;Insuffisance rénale chronique terminale;Transplantation rénale;Transplantation rénale;IRT_TRE_AIG;00-04;1;75;47;;7780;;2,3;de 0 à 4 ans;hommes;24.0
2022;Maladies inflammatoires ou rares ou infection VIH;Maladies rares;;RAR_CAT_CAT;10-14;2;24;45;30;22020;0.132;2;de 10 à 14 ans;femmes;35.0
